source,target,value
"zijl, j.p.c.m. (jan) van",sociale zaken/overleggroep jeugdwerkloosheid,1
"zijl, j.p.c.m. (jan) van",sociale zaken/regiegroep grijs werkt,1
"zuidam, j. (jan)",dsm/raad van bestuur,3
"zuidam, j. (jan)",nftw/forum,4
"zuidam, j. (jan)",vnci/dagelijks bestuur,3
"zwartendijk, r. (rob)",randstad/raad van commissarissen,1
"zwartendijk, r. (rob)",numico/raad van commissarissen,4
"zwarts, h. (hans)",ns/raad van commissarissen,1
"zwarts, h. (hans)",nuon/raad van commissarissen,1
"zwarts, h. (hans)",ndl/raad van toezicht,1
"zwarts, h. (hans)",amsterdam partners/raad van bestuur,1
"zwarts, h. (hans)",boer & croon/??,1
"zwarts, h. (hans)",justitie/stuurgroep evaluatie politieorganisatie,1
